"fecha"	"dia"	"mes"	"ano"	"diasem"	"dem"	"temp"	"dem1"	"dem2"	"dem3"	"dem4"	"dem5"	"dem6"	"dem7"	"dem8"	"dem9"	"dem10"	"dem11"	"dem12"	"dem13"	"dem14"	"dem15"	"dem16"	"dem17"	"dem18"	"dem19"	"dem20"	"dem21"	"dem22"	"dem23"	"dem24"
20220825	25	8	2022	5	694	31.65	26581	25081	24075	23537	23273	23489	25261	26772	27853	29210	30481	31100	31900	32744	32813	32228	32175	32204	31836	31354	31027	31486	29685	27533
20220826	26	8	2022	6	677	30.76	26392	25172	24006	23255	22991	23229	24950	26467	27284	28557	29778	30639	31392	32070	32027	31433	31149	30734	30199	29871	29639	30327	28607	26630
20220827	27	8	2022	7	616	31.16	25706	24460	23375	22726	22285	21977	22254	22468	23130	24632	26057	26899	27588	28332	28369	27841	27474	27340	27421	27406	27411	28476	27007	25237
20220828	28	8	2022	1	578	33.31	23905	22678	21564	20768	20325	20184	20411	20483	20723	22090	23417	24513	25191	26228	26747	26217	25886	25948	26047	26347	26877	28276	27505	25830
20220829	29	8	2022	2	684	32.47	24525	23182	22204	21612	21389	21864	23986	26227	27781	29322	30749	31604	32570	33279	33225	32557	32240	32253	31679	31224	31082	32091	29956	27829
20220830	30	8	2022	3	708	33.02	26682	25261	24175	23630	23366	23582	25455	27460	28578	29841	31211	32137	33104	33997	34051	33376	33073	32873	32327	31699	31718	32364	30063	27862
20220831	31	8	2022	4	697	30.98	26781	25555	24550	23819	23480	23706	25534	27660	28730	29773	30839	31560	32223	32894	32782	32236	31946	31880	31349	30832	30786	31403	29266	27106
20220901	1	9	2022	5	686	31.36	25848	24559	23523	23010	22786	23048	24997	27085	28166	29289	30395	30885	31793	32563	32448	31686	31763	31592	31178	30776	30989	31564	29345	27162
20220902	2	9	2022	6	687	30.69	26334	25022	24060	23559	23389	23719	25486	27522	28561	29887	30890	31527	32291	32657	32525	31731	31376	31078	30371	29950	29869	30357	28166	26209
20220903	3	9	2022	7	597	29.29	25340	24094	22971	22324	21925	21550	21916	22426	22976	24541	25636	26277	26724	27120	27071	26243	25788	25784	25878	26041	26533	27524	25906	24278
20220904	4	9	2022	1	551	31.13	23014	21733	20927	20266	19914	19745	19980	20209	20253	21345	22261	22817	23582	24387	24735	24003	23750	23905	24317	24860	26041	27700	26739	24912
20220905	5	9	2022	2	666	31.69	23349	22171	21343	20969	20933	21474	23937	26592	27932	29157	29918	30814	31597	32108	31799	30841	30669	30776	30683	30458	30812	31707	29241	26830
20220906	6	9	2022	3	679	32.05	25464	24290	23268	22772	22581	22887	24741	27056	28149	29256	30026	30694	31426	31971	31757	30993	31010	31128	31023	30610	30958	31488	28977	26702
20220907	7	9	2022	4	684	31.17	25536	24252	23304	22830	22643	23071	25119	27546	28606	29322	30859	31303	31935	32322	32083	31173	31107	31162	30788	30561	31185	31491	28915	26548
20220908	8	9	2022	5	671	30.14	25502	24306	23442	22933	22810	23058	24841	27107	28160	29144	29662	30206	30563	31022	30787	30226	30132	30189	30042	30038	30499	30927	28560	26387
20220909	9	9	2022	6	678	30.73	25378	24194	23375	22858	22688	23058	25020	27435	28390	29506	30414	31212	31714	32187	31628	30901	30784	30865	30794	30089	30375	30573	28186	26204
20220910	10	9	2022	7	611	32.26	25183	23969	22968	22368	21911	21618	22083	22699	23229	24940	26348	27115	27511	28078	27899	27300	26980	27056	27273	27310	27731	28466	26530	24866
20220911	11	9	2022	1	577	34.2	23645	22466	21436	20696	20375	20210	20473	20619	20711	22118	23539	24354	25118	26204	26591	25920	25795	25917	26123	26204	27252	28361	27206	25517
20220912	12	9	2022	2	698	33.03	24165	23123	22339	21928	21766	22243	24885	27586	29396	30684	31752	32342	32994	33546	33698	32958	32895	32755	32218	31951	32764	32601	29692	27327
20220913	13	9	2022	3	692	28.61	26156	24949	24122	23763	23570	24098	26516	29313	30819	23962	32636	32670	33019	33167	32471	31547	31125	30832	30208	30228	31382	31271	28389	26189
20220914	14	9	2022	4	675	27.9	24953	23903	23137	22700	22698	23083	25436	28336	29633	30417	30937	30962	31282	31346	30809	30100	29817	29868	29822	29723	30928	30982	28194	25990
20220915	15	9	2022	5	670	27.73	24788	23674	22814	22425	22201	22559	24878	27699	28731	29575	30388	30542	30894	31263	31007	30356	30288	30242	29851	29825	31247	31069	28256	25919
20220916	16	9	2022	6	666	27.69	24833	23874	23101	22645	22528	22942	25207	27944	28906	29848	30356	30532	30930	31181	30560	29648	29316	29450	29365	29163	30063	30099	27534	25494
20220917	17	9	2022	7	580	27.48	24527	23448	22474	21900	21499	21181	21654	22459	22820	24283	25179	25646	25867	26137	25760	24883	24524	24655	24934	25049	26441	26944	24828	23296
20220918	18	9	2022	1	536	28.01	22133	20945	20119	19747	19342	19232	19524	19897	19954	21168	22228	22888	23390	24195	24127	23165	22765	22951	23339	23743	25735	26422	25139	23569
20220919	19	9	2022	2	646	28.66	22355	21384	20677	20446	20421	21020	23823	26987	28217	28995	29542	29782	30313	30712	30251	29705	29556	29673	29360	29264	30613	30306	27536	25308
20220920	20	9	2022	3	663	27.86	24110	23162	22400	22187	22019	22421	24708	27692	28725	29445	29975	30233	30758	30892	30509	30031	29980	30049	29814	29633	30899	30416	27539	25347
20220921	21	9	2022	4	658	27.51	24179	23077	22471	21970	21903	22364	24788	27683	28732	29255	29655	29932	30597	30677	30202	29508	29517	29458	29051	29076	30682	30157	27377	25256
