Number	Country	FertilityRate	IQ	Pop_1950	Pop_2000	Pop_2050
175	Tonga	3	86	45744	102321	188340
176	Trinidad&Tobago	1.74	85	632000	1118204	622011
177	Tunisia	1.74	83	3517210	9563816	12462798
178	Turkey	1.92	90	21121639	65666677	86473786
179	Turkmenistan	3.37	87	1204075	4518268	9626193
180	Uganda	6.71	73	5521758	23955822	128007514
181	Ukraine	1.17	97	36774854	49005222	33573842
182	UnitedArabEmirates	2.88	84	71250	2369153	3696962
183	UnitedKingdom	1.66	100	50127000	59522468	63977435
184	UnitedStates	2.09	98	152271000	282338631	420080587
185	Uruguay	1.89	96	2194275	3323876	3728264
186	Uzbekistan	2.91	87	6250443	24755519	48597111
187	Vanuatu	2.7	84	52000	189618	310486
188	Venezuela	2.23	84	5009006	23542649	37106394
189	Vietnam	1.91	94	25348144	79060410	107772641
190	Yemen	6.58	85	4777089	17479206	71119251
191	Zambia	5.39	71	2553000	10205262	18435053
192	Zimbabwe	3.13	66	2853151	11751323	12221257
