dia,mes,ano,diasem,dem,temp,dem1,dem2,dem3,dem4,dem5,dem6,dem7,dem8,dem9,dem10,dem11,dem12,dem13,dem14,dem15,dem16,dem17,dem18,dem19,dem20,dem21,dem22,dem23,dem24
23,2,2024,6,669,15.02,24857,23398,22411,22198,21969,22785,25619,29444,30862,30696,29678,29107,29196,29261,28821,28294,28400,29022,30082,32380,33090,32063,29259,26581
24,2,2024,7,608,14.48,25142,23562,22338,21591,21410,21414,22124,23534,24681,26271,26962,26633,26097,26264,25868,25000,24626,25295,26719,29122,30204,30020,27764,25492
25,2,2024,1,582,17.81,23492,21913,20791,20104,19803,19924,20416,21124,21732,23487,25025,25469,25909,26503,26439,25162,24615,24686,25861,28258,29666,29388,27408,24943
26,2,2024,2,682,15.39,23107,21761,20811,20449,20546,21614,24877,29319,31072,31559,31608,31167,30844,30681,30239,29997,30164,30569,31468,33786,34852,33673,30333,27206
27,2,2024,3,693,14.84,25386,23898,22842,22468,22439,23170,26354,30526,32206,32067,31180,30383,29910,29752,29500,29248,29406,30079,31057,33843,34927,33986,30830,27752
28,2,2024,4,678,16.59,25958,24399,23357,22863,22807,23319,26083,29710,31319,31242,30683,29850,29058,28572,28042,27608,27688,28520,29688,32654,34036,33106,30047,26949
29,2,2024,5,682,17.98,25384,23765,22855,22516,22511,23255,26233,30236,31751,31164,30033,29376,28906,28972,28715,28393,28432,29465,30671,33422,34646,33646,30523,27426
1,3,2024,6,677,17.03,25558,24066,22988,22557,22455,23220,26347,30453,31993,31291,30302,29392,28813,28731,28247,27803,27911,28776,30062,32685,33563,32582,29754,27125
2,3,2024,7,620,15.25,25614,23857,22549,21916,21482,21369,21968,23207,24423,26214,27100,27334,27400,28063,27789,26835,26313,26512,27510,29308,30206,29874,27716,25514
3,3,2024,1,572,13.92,23558,21748,20623,19999,19718,19711,20098,20755,21508,22840,24059,23985,23869,24602,24662,23570,23312,23959,25685,28708,30686,30492,28432,25793
4,3,2024,2,694,17.78,23753,22131,21294,20903,21113,21976,25438,29907,31895,32139,31919,31406,31328,31360,31227,31027,30710,30892,31235,33642,35251,34324,31007,27719
5,3,2024,3,679,16.87,25666,23948,23001,22682,22587,23327,26387,30548,32011,31287,30050,29143,28739,28259,27871,27474,27612,28742,29877,32637,34534,34031,30777,27827
6,3,2024,4,686,17.5,25828,24372,23384,22932,22974,23697,26701,30801,32219,31594,30651,29479,28795,28663,28288,27973,28439,29409,30369,32834,34525,33928,30797,27700
7,3,2024,5,698,16.57,25671,24100,22995,22622,22442,23305,26295,30285,31752,31236,30509,30323,30402,30668,30694,30454,30460,30891,31337,33783,34995,34058,30864,27426
8,3,2024,6,696,15.59,25770,24383,23338,22987,22853,23562,26625,30471,32233,32040,31659,31143,30779,30703,29968,29343,29276,29916,30816,33028,33790,33018,30224,27609
9,3,2024,7,639,14.48,25838,24053,22710,21856,21528,21517,22200,23327,24949,27544,29227,29593,29879,30324,29661,28133,27057,26806,27531,29621,30805,30595,28273,25976
10,3,2024,1,574,15.92,23985,21915,20680,19939,19716,19680,20352,20742,21422,23017,23949,24103,24435,25163,24863,23672,23205,23790,25448,28506,30511,30479,28446,25754
11,3,2024,2,669,16.86,23626,22203,21329,20951,21003,22122,25664,29885,31422,30809,29927,29175,28737,28850,28604,28525,28602,29247,30378,32901,34464,33482,30185,27365
12,3,2024,3,671,18.36,25308,23761,22823,22473,22564,23378,26167,29710,31100,30642,29802,28562,28104,28080,27785,27528,27665,28477,29616,32203,34027,33349,30300,27328
13,3,2024,4,672,20.1,25547,24143,23222,22926,22738,23480,26249,29829,31316,30624,29504,28774,28187,28147,27813,27447,27494,28511,29619,32086,33865,33119,30081,27436
14,3,2024,5,673,20.8,25597,24074,23148,22767,22752,23589,26543,29809,30731,30173,29019,28182,28096,28449,28421,28077,28313,29201,29998,31992,33626,32931,29889,27306
15,3,2024,6,657,21.48,25422,23916,22896,22596,22552,23351,26222,29477,30428,30020,29130,28204,28003,27981,27591,27190,27156,27833,28703,30535,31683,30958,28417,26305
16,3,2024,7,577,23.02,24930,23492,22370,21790,21409,21394,22020,22796,23831,25028,25282,24791,24168,23986,23666,23099,22866,23434,24708,26946,27914,27613,25788,23899
17,3,2024,1,534,24.62,22528,21166,20315,19728,19482,19568,19957,20131,20661,21607,22094,21885,21767,22204,22180,21421,21417,22101,23374,25670,27443,27399,25743,23818
18,3,2024,2,615,23.87,22448,21273,20498,20157,20201,21051,23827,26487,27457,27618,27007,26457,26510,26636,26526,26190,26156,26949,27632,29633,31312,30513,27528,24928
19,3,2024,3,611,23.55,23578,22379,21466,21157,21269,21821,23883,25943,26928,26985,26335,25827,25993,25949,25711,25471,25672,26472,27167,29015,30512,29532,27004,24596
20,3,2024,4,631,20.78,23286,22153,21223,20874,20895,21641,24416,27265,28517,28127,27570,27073,27369,27580,27401,27149,27381,27745,28181,29936,31475,30561,27823,25190
21,3,2024,5,637,22.13,23808,22669,21984,21572,21535,22303,24861,27628,28692,28211,27599,26993,26945,26941,27096,26767,26934,27712,28612,30787,32179,31194,28289,25684
22,3,2024,6,634,24.21,24453,23339,22406,22129,22116,22668,25124,27788,28696,28345,27774,27248,26906,27038,26876,26615,26725,27372,28275,29966,30710,29671,27074,24765
23,3,2024,7,544,21.84,23370,22076,20990,20433,20103,19930,20423,20862,22181,23434,23779,23000,22729,22777,22386,21658,21890,22639,23719,25488,26823,26513,24480,22741
24,3,2024,1,512,20.74,21188,19893,18869,18416,18098,18225,18478,18516,19495,20632,21278,21328,21295,21602,21671,20804,20904,21727,22934,24811,26583,26535,25018,23279
25,3,2024,2,641,16.7,21894,20728,20071,19842,19903,20694,23350,25716,27729,29093,29567,29768,29994,30316,30108,29392,28904,28769,28821,30358,31568,30691,28112,25619
26,3,2024,3,654,14.21,24070,22847,21886,21461,21489,22073,24327,26635,28335,29011,28840,28752,28986,29320,28850,28150,28100,28742,29408,31461,33025,32163,29468,26886
27,3,2024,4,645,17.61,24962,23405,22196,21625,21472,22164,24495,26817,28291,28892,28743,28488,28434,28656,28267,27840,27664,28113,28856,30211,31393,30699,27998,25284
